time,energy
1.755753132767029001e+02,8.705402746262609348e-01
1.756169879297474381e+02,8.703640825897740463e-01
1.756586625827920045e+02,8.701936568617750778e-01
1.757003372358365425e+02,8.700291950399821062e-01
1.757420118888811089e+02,8.698708882967316480e-01
1.757836865419256753e+02,8.697189228075068446e-01
1.758253611949702133e+02,8.695734787879259020e-01
1.758670358480147797e+02,8.694347305161498340e-01
1.759087105010593177e+02,8.693028469232155775e-01
1.759503851541038841e+02,8.691779901441167855e-01
1.759920598071484221e+02,8.690603174139001075e-01
1.760337344601929885e+02,8.689499786837562301e-01
1.760754091132375265e+02,8.688471190501685371e-01
1.761170837662820929e+02,8.687518763655593945e-01
1.761587584193266309e+02,8.686643832075910954e-01
1.762004330723711973e+02,8.685847654364727832e-01
1.762421077254157353e+02,8.685131428898282824e-01
1.762837823784603017e+02,8.684496294760645219e-01
1.763254570315048682e+02,8.683943322906061413e-01
1.763671316845494061e+02,8.683473532279617491e-01
1.764088063375939726e+02,8.683087868556967903e-01
1.764504809906385105e+02,8.682787229190900291e-01
1.764921556436830770e+02,8.682572438224915867e-01
1.765338302967276150e+02,8.682444270360794025e-01
1.765755049497721814e+02,8.682403432106042818e-01
1.766171796028167194e+02,8.682450575266746906e-01
1.766588542558612858e+02,8.682586292321293753e-01
1.767005289089058238e+02,8.682811113935293701e-01
1.767422035619503902e+02,8.683125520855169421e-01
1.767838782149949282e+02,8.683529926474917726e-01
1.768255528680394946e+02,8.684024700933863361e-01
1.768672275210840610e+02,8.684610145865903075e-01
1.769089021741285990e+02,8.685286521426467399e-01
1.769505768271731654e+02,8.686054023649911748e-01
1.769922514802177034e+02,8.686912803851182252e-01
1.770339261332622698e+02,8.687862958133900637e-01
1.770756007863068078e+02,8.688904531580450286e-01
1.771172754393513742e+02,8.690037524692484361e-01
1.771589500923959122e+02,8.691261880855624122e-01
1.772006247454404786e+02,8.692577507729422059e-01
1.772422993984850166e+02,8.693984253234384729e-01
1.772839740515295830e+02,8.695481933850062184e-01
1.773256487045741210e+02,8.697070309096098795e-01
1.773673233576186874e+02,8.698749105805814175e-01
1.774089980106632538e+02,8.700518001821064829e-01
1.774506726637077918e+02,8.702376636796408382e-01
1.774923473167523582e+02,8.704324612244369597e-01
1.775340219697968962e+02,8.706361484748152968e-01
1.775756966228414626e+02,8.708486782972344464e-01
1.776173712758860006e+02,8.710699986217026458e-01
1.776590459289305670e+02,8.713000552149008371e-01
1.777007205819751050e+02,8.715387889586094783e-01
1.777423952350196714e+02,8.717861386276388735e-01
1.777840698880642094e+02,8.720420387234957271e-01
1.778257445411087758e+02,8.723064211726343498e-01
