time,centroid,bandwidth,chroma_hue
6.584595181039415657e+00,3.521474223931151948e-01,5.903952235461717990e-01,3.333333333333333148e-01
6.626269834083968746e+00,3.550913237610704987e-01,5.925220090683640528e-01,3.895614146279617884e-01
6.667944487128521835e+00,3.578091673142788087e-01,5.945200493457504232e-01,4.166666666666666852e-01
6.709619140173074925e+00,3.602727743643451830e-01,5.963685371846609851e-01,6.513605442176759741e-01
6.751293793217628902e+00,3.624559845602502439e-01,5.980469599976869777e-01,6.110723792622718697e-01
6.792968446262181992e+00,3.643351565581954277e-01,5.995358188471706651e-01,6.133012211095664745e-02
6.834643099306735081e+00,3.658898537534115980e-01,6.008179159566719996e-01,4.034098111294086297e-02
6.876317752351288171e+00,3.671027013691716134e-01,6.018779728617003055e-01,2.597815523724989473e-01
6.917992405395841260e+00,3.679388190975672046e-01,6.026888210583493111e-01,4.093357840030400485e-01
6.959667058440395238e+00,3.683806718177570216e-01,6.032349924565184596e-01,4.877783411501240840e-01
7.001341711484948327e+00,3.684508221657972760e-01,6.035273647016210496e-01,7.502218278615775393e-01
7.043016364529501416e+00,3.681463882964946532e-01,6.035594893301163832e-01,8.873325727806639085e-01
7.084691017574054506e+00,3.674662237460418202e-01,6.033257709157084925e-01,5.985655131617964031e-01
7.126365670618607595e+00,3.664126338513694625e-01,6.028244421832815725e-01,4.071069421557406698e-01
7.168040323663161573e+00,3.649940039514230072e-01,6.020578371636957637e-01,5.849917606794247105e-01
7.209714976707714662e+00,3.632222941858799792e-01,6.010298423421944758e-01,7.500000000000000000e-01
7.251389629752267751e+00,3.611080249438215484e-01,5.997437504609203218e-01,6.826910888579055259e-01
7.293064282796820841e+00,3.586636192120763456e-01,5.982052218624830386e-01,2.606477373558062638e-01
7.334738935841373930e+00,3.558796536430893775e-01,5.964017971135633367e-01,5.597562006168883553e-01
7.376413588885927908e+00,3.527934079688461178e-01,5.943569059585239733e-01,3.766848354248546471e-01
7.418088241930480997e+00,3.494366014315676283e-01,5.920918653673307164e-01,3.333333333333333148e-01
7.459762894975034087e+00,3.458295053717168055e-01,5.896191517982800612e-01,3.851037309333660286e-01
7.501437548019587176e+00,3.419933094944144214e-01,5.869528359194263745e-01,3.734524865846973740e-01
7.543112201064140265e+00,3.379505360759079702e-01,5.841076479304013747e-01,3.333333333333333148e-01
7.584786854108694243e+00,3.337242447478583895e-01,5.810991827196193560e-01,3.333333333333333148e-01
7.626461507153247332e+00,3.293372675817601292e-01,5.779440176009811303e-01,3.333333333333333148e-01
7.668136160197800422e+00,3.248122121864602252e-01,5.746588714101583673e-01,3.872691933916405649e-01
7.709810813242353511e+00,3.201707373369670484e-01,5.712603851845635683e-01,8.333333333333333703e-01
7.751485466286906600e+00,3.154294601144264631e-01,5.677586969557051333e-01,8.333333333333333703e-01
7.793160119331460578e+00,3.106228676972879188e-01,5.641833924988374216e-01,8.333333333333333703e-01
7.834834772376013667e+00,3.057742225579631046e-01,5.605548183270832041e-01,7.171377867917362314e-01
7.876509425420566757e+00,3.009055378155550131e-01,5.568922313390012313e-01,7.657497781721362973e-01
7.918184078465119846e+00,2.960375167282484621e-01,5.532134738365332982e-01,5.874213039253052271e-01
7.959858731509672936e+00,2.911894537355483314e-01,5.495353564580977013e-01,3.657624540499412324e-01
8.001533384554226913e+00,2.863805215084360700e-01,5.458753541266674336e-01,3.927937634681213930e-01
8.043208037598779114e+00,2.816303859281341082e-01,5.422521256306950255e-01,4.252334474162118294e-01
8.084882690643333092e+00,2.769576674706685782e-01,5.386834287792483522e-01,7.792495880339850300e-01
8.126557343687887069e+00,2.723835049274937470e-01,5.351888188677309532e-01,1.810326615118079685e-01
8.168231996732439271e+00,2.679345292084792662e-01,5.317924059110995527e-01,5.315734989647979969e-01
8.209906649776993248e+00,2.636183375200429890e-01,5.285032781491523224e-01,3.900578865086381519e-01
8.251581302821545449e+00,2.594484322331171433e-01,5.253344425700019471e-01,3.892022647568318394e-01
8.293255955866099427e+00,2.554373196362944576e-01,5.222980061479048919e-01,4.166666666666666852e-01
8.334930608910653405e+00,2.515969258799619634e-01,5.194057321954815842e-01,4.166666666666666852e-01
8.376605261955205606e+00,2.479411486080557447e-01,5.166705998780652953e-01,5.374677821439092229e-01
8.418279914999759583e+00,2.444830876087382976e-01,5.141035487621143929e-01,7.067118772975028440e-01
8.459954568044311785e+00,2.412303337215942756e-01,5.117103769423185788e-01,5.833333333333333703e-01
8.501629221088865762e+00,2.381877474111591952e-01,5.094976369071680944e-01,5.788017070182127632e-01
8.543303874133419740e+00,2.353785652346995216e-01,5.074838723871750723e-01,5.040245912029406306e-01
8.584978527177971941e+00,2.328111469066831141e-01,5.056759108459242258e-01,3.584949507753433240e-01
8.626653180222525918e+00,2.304761237347680014e-01,5.040629272796666172e-01,3.955296404276004707e-01
8.668327833267078120e+00,2.283765708655175475e-01,5.026476343859372919e-01,3.630265770904659850e-01
8.710002486311632097e+00,2.265147736829309089e-01,5.014313022538730014e-01,3.333333333333333148e-01
8.751677139356186075e+00,2.248924530341079309e-01,5.004137175692729977e-01,3.333333333333333148e-01
8.793351792400738276e+00,2.235098458246213282e-01,4.995930476684849464e-01,3.333333333333333148e-01
8.835026445445292254e+00,2.223657437797549596e-01,4.989662082005398291e-01,3.333333333333333148e-01
8.876701098489844455e+00,2.214583213377399051e-01,4.985294097533335966e-01,3.333333333333333148e-01
8.918375751534398432e+00,2.207841103026179641e-01,4.982774959657462754e-01,3.448472556724468396e-01
8.960050404578950634e+00,2.203622174501119468e-01,4.982234307376637861e-01,7.187328347487915714e-01
9.001725057623504611e+00,2.201746802434004779e-01,4.983500448053937992e-01,5.444289517049087923e-01
9.043399710668058589e+00,2.202077178040458827e-01,4.986438101773217335e-01,5.599674652469692759e-01
9.085074363712610790e+00,2.204549188491985445e-01,4.990967741105472033e-01,4.805108378755276743e-01
9.126749016757164767e+00,2.209100618676679006e-01,4.997014604569662843e-01,3.738116364558262683e-01
9.168423669801716969e+00,2.215662389039224078e-01,5.004498023026350273e-01,3.676321460261093299e-01
9.210098322846270946e+00,2.224158479784063003e-01,5.013337230757045626e-01,3.909240714919518522e-01
9.251772975890824924e+00,2.234516300904626218e-01,5.023459550506746973e-01,3.333333333333333148e-01
9.293447628935377125e+00,2.246673138767658617e-01,5.034793677494323605e-01,3.333333333333333148e-01
9.335122281979931103e+00,2.260549817347942414e-01,5.047255379617026083e-01,3.333333333333333148e-01
9.376796935024483304e+00,2.276255358419596031e-01,5.060872946608835354e-01,3.333333333333333148e-01
9.418471588069037281e+00,2.293472042047499382e-01,5.075406238341225729e-01,3.333333333333333148e-01
9.460146241113591259e+00,2.312118407839633683e-01,5.090787019967585314e-01,3.333333333333333148e-01
9.501820894158143460e+00,2.332131359809683224e-01,5.106940509603967726e-01,5.792453627413584050e-01
9.543495547202697438e+00,2.353444455647875078e-01,5.123791622877552632e-01,7.500000000000000000e-01
9.585170200247249639e+00,2.375982002458046083e-01,5.141266827144195251e-01,6.858600583090438407e-01
9.626844853291803616e+00,2.399670141757940245e-01,5.159296498994423441e-01,5.833333333333333703e-01
9.668519506336357594e+00,2.424450948063707201e-01,5.177819154030474103e-01,5.683757975239782656e-01
9.710194159380909795e+00,2.450282197377297300e-01,5.196784342895267583e-01,5.000000000000000000e-01
9.751868812425463773e+00,2.477151290301047581e-01,5.216154867875825163e-01,5.000000000000000000e-01
9.793543465470015974e+00,2.505074837746622540e-01,5.235913406832695127e-01,4.273777834115042307e-01
9.835218118514569952e+00,2.533930439604379914e-01,5.255986235892946556e-01,4.166666666666666852e-01
9.876892771559123929e+00,2.563712173118059545e-01,5.276351958768084049e-01,3.611568851142932801e-01
9.918567424603676130e+00,2.594420129436694200e-01,5.297008194566380501e-01,3.333333333333333148e-01
9.960242077648230108e+00,2.626064881970172626e-01,5.317959164942103190e-01,3.333333333333333148e-01
1.000191673069278231e+01,2.658655280524834796e-01,5.339205362024600499e-01,3.333333333333333148e-01
1.004359138373733629e+01,2.692211020065401472e-01,5.360754566301790813e-01,4.823277136941661603e-01
1.008526603678189026e+01,2.726775042244348191e-01,5.382634785478951356e-01,9.039379727046094049e-01
1.012694068982644247e+01,2.762372374854576429e-01,5.404874749255567101e-01,8.333333333333333703e-01
1.016861534287099644e+01,2.799120545941125582e-01,5.427546253172363944e-01,8.333333333333333703e-01
1.021028999591554864e+01,2.837067033772324720e-01,5.450696570400327401e-01,4.109730848861460339e-01
1.025196464896010262e+01,2.876166612152318836e-01,5.474326803499134364e-01,3.333333333333333148e-01
1.029363930200465660e+01,2.916443312606752936e-01,5.498472616676012281e-01,3.333333333333333148e-01
